"Plot Title: Fox_ATM"
"#","Date Time, GMT-08:00","Abs Pres, kPa (LGR S/N: 2026090, SEN S/N: 2026090)","Temp, °C (LGR S/N: 2026090, SEN S/N: 2026090)","Batt, V (LGR S/N: 2026090, SEN S/N: 2026090)","Coupler Detached (LGR S/N: 2026090)","Coupler Attached (LGR S/N: 2026090)","Host Connected (LGR S/N: 2026090)","Stopped (LGR S/N: 2026090)","End Of File (LGR S/N: 2026090)"
1,02/24/14 06:00:00 PM,96.765,11.528,3.27,Logged,,,,
2,02/24/14 06:30:00 PM,96.790,10.455,3.27,,,,,
3,02/24/14 07:00:00 PM,96.791,9.669,3.27,,,,,
4,02/24/14 07:30:00 PM,96.804,9.275,3.29,,,,,
5,02/24/14 08:00:00 PM,96.804,8.779,3.29,,,,,
6,02/24/14 08:30:00 PM,96.841,8.182,3.27,,,,,
7,02/24/14 09:00:00 PM,96.854,7.582,3.27,,,,,
8,02/24/14 09:30:00 PM,96.855,7.079,3.27,,,,,
9,02/24/14 10:00:00 PM,96.843,6.877,3.27,,,,,
10,02/24/14 10:30:00 PM,96.856,6.370,3.27,,,,,
11,02/24/14 11:00:00 PM,96.856,5.962,3.27,,,,,
12,02/24/14 11:30:00 PM,96.845,5.552,3.27,,,,,
13,02/25/14 12:00:00 AM,96.821,5.141,3.24,,,,,
14,02/25/14 12:30:00 AM,96.822,4.831,3.24,,,,,
15,02/25/14 01:00:00 AM,96.822,4.519,3.27,,,,,
16,02/25/14 01:30:00 AM,96.811,4.207,3.27,,,,,
17,02/25/14 02:00:00 AM,96.799,3.893,3.27,,,,,
18,02/25/14 02:30:00 AM,96.799,3.683,3.27,,,,,
19,02/25/14 03:00:00 AM,96.776,3.472,3.27,,,,,
20,02/25/14 03:30:00 AM,96.752,3.155,3.27,,,,,
21,02/25/14 04:00:00 AM,96.740,3.155,3.27,,,,,
22,02/25/14 04:30:00 AM,96.753,2.837,3.27,,,,,
23,02/25/14 05:00:00 AM,96.753,2.517,3.24,,,,,
24,02/25/14 05:30:00 AM,96.766,2.303,3.24,,,,,
25,02/25/14 06:00:00 AM,96.778,2.088,3.24,,,,,
26,02/25/14 06:30:00 AM,96.742,1.872,3.24,,,,,
27,02/25/14 07:00:00 AM,96.742,1.764,3.24,,,,,
