"﻿""Plot Title: Fox_Water""",,,,,Coupler Detached (LGR S/N: 2033056),Coupler Attached (LGR S/N: 2033056),Host Connected (LGR S/N: 2033056),Stopped (LGR S/N: 2033056),End Of File (LGR S/N: 2033056)
#,"Date Time, GMT-08:00","Abs Pres, kPa (LGR S/N: 2033056, SEN S/N: 2033056)","Temp, °C (LGR S/N: 2033056, SEN S/N: 2033056)","Batt, V (LGR S/N: 2033056, SEN S/N: 2033056)","Abs Pres, kPa (LGR S/N: 2026090, SEN S/N: 2026090)","Temp, °C (LGR S/N: 2026090, SEN S/N: 2026090)",Water Depth (m),,
1,2/24/14 18:00,96.892,9.373,3.46,96.765,11.528,0.012954,,
2,2/24/14 18:30,96.901,8.68,3.46,96.79,10.455,0.011322,,
3,2/24/14 19:00,96.933,8.382,3.46,96.791,9.669,0.014484,,
4,2/24/14 19:30,96.941,8.282,3.46,96.804,9.275,0.013974,,
5,2/24/14 20:00,96.948,8.182,3.46,96.804,8.779,0.014688,,
6,2/24/14 20:30,96.963,7.983,3.46,96.841,8.182,0.012444,,
7,2/24/14 21:00,96.981,7.882,3.46,96.854,7.582,0.012954,,
8,2/24/14 21:30,96.988,7.782,3.46,96.855,7.079,0.013566,,
9,2/24/14 22:00,97.003,7.582,3.46,96.843,6.877,0.01632,,
10,2/24/14 22:30,96.989,7.481,3.46,96.856,6.37,0.013566,,
11,2/24/14 23:00,96.996,7.381,3.46,96.856,5.962,0.01428,,
12,2/24/14 23:30,96.978,7.179,3.46,96.845,5.552,0.013566,,
13,2/25/14 0:00,96.986,7.079,3.46,96.821,5.141,0.01683,,
14,2/25/14 0:30,96.961,6.978,3.43,96.822,4.831,0.014178,,
15,2/25/14 1:00,96.957,6.877,3.43,96.822,4.519,0.01377,,
16,2/25/14 1:30,96.954,6.775,3.43,96.811,4.207,0.014586,,
17,2/25/14 2:00,96.95,6.674,3.43,96.799,3.893,0.015402,,
18,2/25/14 2:30,96.947,6.573,3.43,96.799,3.683,0.015096,,
19,2/25/14 3:00,96.908,6.37,3.43,96.776,3.472,0.013464,,
20,2/25/14 3:30,96.894,6.268,3.43,96.752,3.155,0.014484,,
21,2/25/14 4:00,96.89,6.166,3.43,96.74,3.155,0.0153,,
