,P,ET,wy,sumP,D
2000-10-07,0.0,1.2174094911937374,2001,0.0,1.2174094911937374
2000-10-08,0.0,1.2292835738747552,2001,0.0,2.4466930650684926
2000-10-09,0.0,1.2411576565557727,2001,0.0,3.6878507216242653
2000-10-10,3.6110466033065878,1.2530317392367905,2001,3.6110466033065878,1.329835857554468
2000-10-11,9.466912155941978,1.2649058219178082,2001,13.077958759248567,0.0
2000-10-12,2.7184248242353526,1.2767799045988257,2001,15.79638358348392,0.0
2000-10-13,0.0,1.2886539872798435,2001,15.79638358348392,1.2886539872798435
2000-10-14,0.0,1.300528069960861,2001,15.79638358348392,2.5891820572407047
2000-10-15,0.0,1.3124021526418788,2001,15.79638358348392,3.9015842098825835
2000-10-16,0.0,1.2822492661448142,2001,15.79638358348392,5.183833476027398
2000-10-17,0.0,1.2520963796477496,2001,15.79638358348392,6.435929855675147
2000-10-18,0.0,1.221943493150685,2001,15.79638358348392,7.657873348825833
2000-10-19,0.0,1.1917906066536204,2001,15.79638358348392,8.849663955479453
2000-10-20,0.0,1.161637720156556,2001,15.79638358348392,10.011301675636009
2000-10-21,0.0,1.1314848336594914,2001,15.79638358348392,11.142786509295501
2000-10-22,0.0,1.1013319471624268,2001,15.79638358348392,12.244118456457928
2000-10-23,0.0,1.0711790606653622,2001,15.79638358348392,13.31529751712329
2000-10-24,0.0,1.0577492049902153,2001,15.79638358348392,14.373046722113504
2000-10-25,8.890554645518565,1.0443193493150686,2001,24.686938229002486,6.526811425910008
2000-10-26,11.637140017099332,1.0308894936399218,2001,36.32407824610182,0.0
2000-10-27,4.187435234148886,1.017459637964775,2001,40.511513480250706,0.0
2000-10-28,4.818067437008873,1.0040297822896282,2001,45.32958091725958,0.0
2000-10-29,4.9579947698919264,0.9905999266144814,2001,50.2875756871515,0.0
2000-10-30,0.13775129414192483,0.9771700709393346,2001,50.42532698129343,0.8394187767974097
2000-10-31,1.9388238698089681,0.9637402152641878,2001,52.3641508511024,0.0
2000-11-01,0.0,0.929005931996086,2001,52.3641508511024,0.929005931996086
2000-11-02,0.0,0.8942716487279843,2001,52.3641508511024,1.8232775807240702
2000-11-03,0.0,0.8595373654598825,2001,52.3641508511024,2.6828149461839526
2000-11-04,0.0,0.8248030821917807,2001,52.3641508511024,3.507618028375733
2000-11-05,0.0,0.790068798923679,2001,52.3641508511024,4.297686827299412
2000-11-06,0.0,0.7553345156555772,2001,52.3641508511024,5.053021342954989
2000-11-07,0.0,0.7206002323874754,2001,52.3641508511024,5.773621575342465
2000-11-08,0.0,0.6858659491193736,2001,52.3641508511024,6.459487524461839
2000-11-09,0.0,0.685338796477495,2001,52.3641508511024,7.144826320939334
2000-11-10,0.0,0.6848116438356162,2001,52.3641508511024,7.82963796477495
2000-11-11,0.0,0.6842844911937376,2001,52.3641508511024,8.513922455968688
2000-11-12,0.0,0.6837573385518589,2001,52.3641508511024,9.197679794520546
2000-11-13,1.6804404419320855,0.6832301859099802,2001,54.044591293034486,8.20046953849844
2000-11-14,2.2668549384477843,0.6827030332681016,2001,56.31144623148227,6.616317633318758
2000-11-15,0.0,0.6821758806262228,2001,56.31144623148227,7.2984935139449805
2000-11-16,0.05422797990803622,0.6816487279843442,2001,56.365674211390306,7.925914262021289
2000-11-17,0.0,0.6793970156555771,2001,56.365674211390306,8.605311277676865
2000-11-18,0.0,0.67714530332681,2001,56.365674211390306,9.282456581003675
2000-11-19,0.0,0.6748935909980428,2001,56.365674211390306,9.957350172001718
2000-11-20,0.030652849129135747,0.6726418786692757,2001,56.39632706051944,10.599339201541857
2000-11-21,3.1307098717269506,0.6703901663405086,2001,59.52703693224639,8.139019496155417
