Sensor,Tree_phase1,diam_phase1,Species_phase1,Tissue_phase1,date_moved1,Tree_phase2,diam_phase2,Species_phase2,Tissue_phase2,notes
SVP85010,1,10,bay,stem,11/28/10,1.2,32.3,mapl,stem,
SVP86007,2,10,bay,stem,2/3/11,unknown (root),,unknown (root),root,move date inferred from data
SVP86025,3,12.9,live,stem,broken,broken,,broken,broken,
SVP86003,4,18.2,live,stem,11/28/10,4,18.2,live,stem,
SVP85006,5,139.9,doug,stem,11/28/10,5,139.9,doug,stem,
SVP87048,5,139.9,doug,stem,11/28/10,5,139.9,doug,stem,not sure about move date - just guessed
SVP87040,5,139.9,doug,stem,11/28/10,5,139.9,doug,stem,
SVP86018,6,18.2,live,stem,11/28/10,6,18.2,live,stem,
SVP86019,7,9.7,live,stem,11/28/10,7,9.7,live,stem,
SVP87018,8,132.6,doug,root,11/27/10,2.2,69.5,live,stem,move date inferred from data
SVP85008,8,132.6,doug,root,11/27/10,8,132.6,doug,root,move date inferred from data
SVP86012,8,132.6,doug,stem,11/27/10,8,132.6,doug,stem,
SVP86014,8,132.6,doug,stem,11/27/10,8,132.6,doug,stem,
SVP86015,8,132.6,doug,stem,11/27/10,8,132.6,doug,stem,
SVP86010,9,113.6,doug,stem,2/3/11,9,113.6,doug,stem,
SVP86011,9,113.6,doug,stem,10/22/10,unknown (root),,unknown (root),root,
SVP86006,9,113.6,doug,stem,2/3/11,9,113.6,doug,stem,
SVP86031,10,15.8,live,stem,2/3/11,10,15.8,live,stem,
SVP87002,11,8.9,madr,stem,11/13/10,11,8.9,madr,stem,move date inferred from data
SVP87008,12,101.9,doug,root,broken,broken,,broken,broken,
SVP86023,12,101.9,doug,root,10/22/10,unknown (root),,unknown (root),root,
SVP86005,12,101.9,doug,stem,11/12/10,12,101.9,doug,stem,move date inferred from data
SVP85005,12,101.9,doug,stem,2/3/11,12,101.9,doug,stem,
SVP87001,13,13.7,bay,stem,11/13/10,13,13.7,bay,stem,
SVP84006,14,15,bay,stem,unknown,14,15,bay,stem,"**need to check where this sensor is in the field (here, assuming it was not moved)"
SVP85003,15,66.3,doug,stem,11/12/10,15,66.3,doug,stem,
SVP87028,15,66.3,doug,stem,11/12/10,15,66.3,doug,stem,
SVP84012,15,66.3,doug,stem,10/21/10,15,66.3,doug,root,
SVP87004,16,31.5,madr,root,10/21/10,16,31.5,madr,root,
SVP87013,16,31.5,madr,stem,11/12/10,16,31.5,madr,stem,
SVP87014,16,31.5,madr,stem,11/12/10,16,31.5,madr,stem,
SVP86020,17,40,live,stem,11/12/10,17,40,live,stem,
SVP87041,17,40,live,root,10/21/10,17,40,live,root,
SVP86013,17,40,live,root,broken,broken,,broken,broken,
SVP87030,18,29.9,bay,stem,11/12/10,18,29.9,bay,stem,
SVP87032,18,29.9,bay,root,10/21/10,18,29.9,bay,root,
SVP84005,18,29.9,bay,root,10/21/10,18,29.9,bay,root,
SVP87011,19,51.7,madr,root,10/21/10,19,51.7,madr,root,
SVP87031,19,51.7,madr,stem,11/12/10,19,51.7,madr,stem,
SVP87025,20,17.8,tan,stem,2/3/11,20,17.8,tan,stem,
SVP87027,21,29.5,doug,stem,11/12/10,21,29.5,doug,stem,
SVP87024,22,19.4,doug,stem,11/12/10,22,19.4,doug,stem,
SVP84004,23,20,doug,stem,broken,broken,,broken,broken,
SVP8019,24,36.4,madr,stem,11/12/10,24,36.4,madr,stem,
SVP87021,24,36.4,madr,stem,11/13/10,24,36.4,madr,root,move date inferred from data
SVP87023,25,118.9,doug,stem,11/13/10,25,118.9,doug,stem,
SVP87022,25,118.9,doug,stem,11/13/10,25,118.9,doug,stem,
SVP87026,25,118.9,doug,stem,11/13/10,25,118.9,doug,stem,
SVP87020,25,118.9,doug,stem,11/13/10,25,118.9,doug,stem,
SVP87017,25,118.9,doug,root,10/21/10,25,118.9,doug,root,
SVP87016,25,118.9,doug,root,10/21/10,25,118.9,doug,root,
SVP87010,25,118.9,doug,root,10/21/10,25,118.9,doug,root,
SVP86004,25,118.9,doug,root,10/21/10,25,118.9,doug,root,
SVP86008,26,33.1,live,stem,not moved yet,26,33.1,,,
SVP86001,27,86.1,live,stem,not moved yet,27,86.1,,,
SVP87012,28,40.4,madr,stem,not moved yet,28,40.4,,,
SVP87006,27,86.1,live,stem,not moved yet,27,86.1,,,
SVP86016,29,28.3,madr,stem,not moved yet,29,28.3,,,
SVP87019,24,36.4,madr,stem,11/13/10,24,36.4,madr,stem,"move date inferred from data; assuming that 8019 is 87019, but need to check this in field"
SVP87029,17,40,live,root,broken,broken,,broken,broken,
