SITE,LOCATION,ASPECT,TREE,NEW TREE TAG,PRESSURE [MPa],SPECIES (common),SPECIES (sci),DATE COLLECTED,TIME COLLECTED,TIME MEASURED,TIME OF DAY,Paired Measure Day,AGE,WEATHER NOTES,WHAT MEASURED,TREE NOTES,SHOOT HEIGHT ABOVE GROUND SURFACE [m],VIEWER,INSTRUMENT,APPROXIMATE DBH (CM)
SAGEHORN,SOUTH,,205,,3.3,,QUGA,9/1/2015,7:15,802,pre-dawn,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,SOUTH,,205,,3.1,,QUGA,9/1/2015,7:15,805,pre-dawn,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,SOUTH,,205,,3.2,,QUGA,9/1/2015,7:15,808,pre-dawn,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,NORTH,,208,,2.1,,QUGA,9/1/2015,7:22,810,pre-dawn,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,NORTH,,208,,2.2,,QUGA,9/1/2015,7:22,812,pre-dawn,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,SOUTH,,206,,1.6,,QUGA,9/1/2015,7:15,814,pre-dawn,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,SOUTH,,206,,1.8,,QUGA,9/1/2015,7:15,81,pre-dawn,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,SOUTH,,207,,2.2,,QUGA,9/1/2015,7:10,819,pre-dawn,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,SOUTH,,207,,2.5,,QUGA,9/1/2015,7:10,820,pre-dawn,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,SOUTH,,207,,2.4,,QUGA,9/1/2015,7:10,822,pre-dawn,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,NORTH,,NT ADJ,,3.8,,QUGA,9/1/2015,7:40,826,pre-dawn,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,NORTH,,NT ADJ,,3.7,,QUGA,9/1/2015,7:40,828,pre-dawn,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,NORTH,,NT,,3.8,,QUGA,9/1/2015,7:35,831,pre-dawn,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,NORTH,,NT,,4,,QUGA,9/1/2015,7:35,833,pre-dawn,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,NORTH,,210,,2.7,,ARME,9/1/2015,7:28,838,pre-dawn,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,NORTH,,210,,2.6,,ARME,9/1/2015,7:28,841,pre-dawn,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,NORTH,,205,,4.4,,QUGA,9/1/2015,13:07,1344,mid-day,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,SOUTH,,205,,5.3,,QUGA,9/1/2015,13:07,1348,mid-day,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,SOUTH,,205,,4.8,,QUGA,9/1/2015,13:07,1351,mid-day,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,NORTH,,208,,4.1,,QUGA,9/1/2015,13:21,1354,mid-day,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,NORTH,,208,,4.8,,QUGA,9/1/2015,13:21,1357,mid-day,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,NORTH,,208,,4,,QUGA,9/1/2015,13:21,1401,mid-day,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,NORTH,,NT ADJ,,4.9,,QUGA,9/1/2015,13:31,1403,mid-day,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,NORTH,,NT ADJ,,4.9,,QUGA,9/1/2015,13:31,1407,mid-day,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,NORTH,,210,,3.1,,ARME,9/1/2015,13:26,1411,mid-day,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,NORTH,,210,,3.3,,ARME,9/1/2015,13:26,1414,mid-day,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,NORTH,,NT,,5.7,,QUGA,9/1/2015,13:29,1419,mid-day,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,NORTH,,NT,,4.3,,QUGA,9/1/2015,13:29,1422,mid-day,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,NORTH,,NT,,5.3,,QUGA,9/1/2015,13:29,1426,mid-day,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,SOUTH,,207,,4.7,,QUGA,9/1/2015,13:05,1428,mid-day,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,SOUTH,,207,,4.6,,QUGA,9/1/2015,13:06,1432,mid-day,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,SOUTH,,206,,4.3,,QUGA,9/1/2015,13:06,1435,mid-day,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,SOUTH,,206,,4.3,,QUGA,9/1/2015,13:06,1438,mid-day,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
RIVENDELL,,,296,,0.9,,QUCH,9/3/2015,7:35,8:56,pre-dawn,9/3/2015,MATURE,,SHOOT,,,C. WONG,,
RIVENDELL,,,296,,1.2,,QUCH,9/3/2015,7:35,8:58,pre-dawn,9/3/2015,MATURE,,SHOOT,,,C. WONG,,
RIVENDELL,,,296,,1.15,,QUCH,9/3/2015,7:55,9:00,pre-dawn,9/3/2015,MATURE,,SHOOT,,,C. WONG,,
RIVENDELL,,,296,,1.1,,QUCH,9/3/2015,7:55,9:02,pre-dawn,9/3/2015,MATURE,,SHOOT,,,C. WONG,,
RIVENDELL,,,296,,1.1,,QUCH,9/3/2015,7:55,9:03,pre-dawn,9/3/2015,MATURE,,SHOOT,,,C. WONG,,
RIVENDELL,,,299,,1.4,,QUCH,9/3/2015,8:12,9:05,pre-dawn,9/3/2015,MATURE,,SHOOT,,,C. WONG,,
RIVENDELL,,,299,,1.3,,QUCH,9/3/2015,8:12,9:06,pre-dawn,9/3/2015,MATURE,,SHOOT,,,C. WONG,,
